POST-HOC DISCOVERY ANALYSIS — NOT A VALIDATED FILTER

CORE
  target   pair direction  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD     short                Q5   955.0 465.0   -1.555988     -2.055988     -0.060453     0.172775   0.569634  0.257592         -3.195632           -4.222514
midpoint GBPUSD      long                Q1  1017.0 607.0    0.081468     -0.418532      0.030711     0.257620   0.692232  0.050147          0.136496           -0.701231
midpoint GBPUSD      long                Q2   997.0 651.0   -0.502378     -1.002378     -0.050878     0.214644   0.682046  0.103310         -0.769387           -1.535132
midpoint GBPUSD      long                Q3  1048.0 649.0   -0.448726     -0.948726     -0.029493     0.206107   0.658397  0.135496         -0.724599           -1.531995
midpoint GBPUSD      long                Q4  1040.0 650.0    0.451443     -0.048557      0.023597     0.194231   0.628846  0.176923          0.722309           -0.077691
midpoint GBPUSD      long                Q5   959.0 467.0   -0.873142     -1.373142     -0.043928     0.174140   0.610010  0.215850         -1.793026           -2.819793
midpoint GBPUSD     short                Q1   943.0 580.0    0.132728     -0.367272      0.011212     0.239661   0.700954  0.059385          0.215797           -0.597134
midpoint GBPUSD     short                Q2   962.0 608.0    1.524272      1.024272      0.150826     0.252599   0.627859  0.119543          2.411760            1.620641
midpoint GBPUSD     short                Q3   911.0 604.0   -0.240588     -0.740588     -0.018030     0.193194   0.644347  0.162459         -0.362874           -1.117013
midpoint GBPUSD     short                Q4   919.0 588.0    0.730418      0.230418      0.041477     0.211099   0.601741  0.187160          1.141588            0.360126
midpoint GBPUSD     short                Q5  1001.0 486.0   -1.548035     -2.048035     -0.069721     0.165834   0.589411  0.244755         -3.188442           -4.218278
opposite EURUSD      long                Q1   975.0 570.0    0.493819     -0.006181      0.121769     0.177436   0.746667  0.075897          0.844691           -0.010572
opposite EURUSD      long                Q2   953.0 602.0   -0.280495     -0.780495     -0.042881     0.156348   0.714586  0.129066         -0.444040           -1.235568
opposite EURUSD      long                Q3   937.0 619.0    0.374650     -0.125350      0.039015     0.149413   0.678762  0.171825          0.567119           -0.189747
opposite EURUSD      long                Q4   979.0 597.0   -0.370508     -0.870508     -0.032572     0.126660   0.674157  0.199183         -0.607583           -1.427516
opposite EURUSD      long                Q5   919.0 443.0   -1.762075     -2.262075     -0.070634     0.103373   0.630033  0.266594         -3.655411           -4.692657
opposite EURUSD     short                Q1   882.0 518.0    0.440450     -0.059550      0.113893     0.176871   0.760771  0.062358          0.749955           -0.101396
opposite EURUSD     short                Q2   903.0 569.0    0.381213     -0.118787      0.051017     0.146179   0.716501  0.137320          0.604984           -0.188514
opposite EURUSD     short                Q3   920.0 613.0    0.692239      0.192239      0.066075     0.147826   0.667391  0.184783          1.038923            0.288515
opposite EURUSD     short                Q4   877.0 559.0    0.232131     -0.267869      0.020186     0.119726   0.629418  0.250855          0.364184           -0.420252
opposite EURUSD     short                Q5   938.0 464.0   -1.914921     -2.414921     -0.082038     0.107676   0.593817  0.298507         -3.871112           -4.881888
opposite GBPUSD      long                Q1  1004.0 600.0    0.124771     -0.375229      0.033244     0.176295   0.777888  0.045817          0.208784           -0.627883
opposite GBPUSD      long                Q2   980.0 641.0   -0.795336     -1.295336     -0.077242     0.140816   0.742857  0.116327         -1.215959           -1.980389
opposite GBPUSD      long                Q3  1032.0 644.0   -0.601190     -1.101190     -0.041477     0.135659   0.697674  0.166667         -0.963398           -1.764640
opposite GBPUSD      long                Q4  1030.0 647.0    0.297345     -0.202655      0.014713     0.121359   0.656311  0.222330          0.473361           -0.322620
opposite GBPUSD      long                Q5   943.0 463.0   -1.003102     -1.503102     -0.048663     0.114528   0.638388  0.247084         -2.043036           -3.061394
opposite GBPUSD     short                Q1   931.0 574.0    0.320183     -0.179817      0.063113     0.168636   0.773362  0.058002          0.519321           -0.291655
opposite GBPUSD     short                Q2   954.0 604.0    1.956374      1.456374      0.192726     0.181342   0.682390  0.136268          3.090034            2.300299
